D0,PA3
D1,PA2
D2,PA10
D3,PB13
D4,PB5
D5,PB7
D6,PB2
D7,PA8
D8,PA9
D9,PB12
D10,PB6
D11,PB15
D12,PB14
D13,PB13
D14,PB9
D15,PB8
A0,PA0
A2,PA4
USER_B1,PB2
LED2,PA5
LED1,PB5
LED3,PB6
LED4,PB7
LED_GREEN,PB5
LED_BLUE,PB6
LED_RED,PB7
SPI2_NSS,PB12
SPI2_SCK,PB13
SPI2_MISO,PB14
SPI2_MOSI,PB15
SX_NSS,PA15
SX_SCK,PB3
SX_MISO,PA6
SX_MOSI,PA7
SX_NRST,PC0
SX_DIO0,PB4
SX_DIO1,PB1
SX_DIO2,PB0
SX_DIO3,PC13
SX_DIO4,PA5
SX_DIO5,PA4
SX_TCXO_POWER,PA12
SX_ANT_SWITCH_RX,PA1
SX_ANT_SWITCH_TX_BOOST,PC1
SX_ANT_SWITCH_TX_RFO,PC2
USB_DM,PA11
USB_DP,PA12
SWDIO,PA13
SWCLK,PA14
